Brand,Product,Price,Image_Link,Product_Link
Yves Saint LaurentÂ,MYSLF Eau de Parfum Travel Spray,$38.00,,https://www.ulta.com/p/myslf-eau-de-parfum-travel-spray-pimprod2040838?sku=2614187
RabanneÂ,Million Gold for Her Eau de Parfum,$98.00 - $170.00,,https://www.ulta.com/p/million-gold-her-eau-de-parfum-pimprod2049534?sku=2633408
CoachÂ,Coach Gold Parfum,$85.00 - $138.00,,https://www.ulta.com/p/coach-gold-parfum-pimprod2052477?sku=2643442
Marc JacobsÂ,Daisy Wild Eau So Intense Eau de Parfum,$96.00 - $165.00,,https://www.ulta.com/p/daisy-wild-eau-so-intense-eau-de-parfum-pimprod2050260?sku=2634672
CoachÂ,Love Eau de Parfum,$80.00 - $126.00,,https://www.ulta.com/p/love-eau-de-parfum-pimprod2040980?sku=2614411
VacationÂ,âGRAND CUVÃEâ by Vacation Eau de Toilette,$60.00,,https://www.ulta.com/p/grand-cuvee-by-vacation-eau-de-toilette-pimprod2051451?sku=2635064
OrebellaÂ,BLOOMING FIRE Parfum,$72.00 - $100.00,,https://www.ulta.com/p/blooming-fire-parfum-pimprod2045015?sku=2618436
Dolce&GabbanaÂ,The Only One Eau de Parfum,$95.00 - $129.00,,https://www.ulta.com/p/only-one-eau-de-parfum-pimprod2002876?sku=2539508
Ralph LaurenÂ,Beyond Romance Eau de Parfum,$115.00 - $140.00,,https://www.ulta.com/p/beyond-romance-eau-de-parfum-pimprod2007054?sku=2548831
OrebellaÂ,SALTED MUSE Parfum,$72.00 - $100.00,,https://www.ulta.com/p/salted-muse-parfum-pimprod2045012?sku=2618393
ChloÃ©Â,ChloÃ© Eau de Parfum,$111.00 - $181.00,,https://www.ulta.com/p/chloe-eau-de-parfum-xlsImpprod4230027?sku=2288093
PradaÂ,Mini Paradoxe Discovery Set,$42.00,,https://www.ulta.com/p/mini-paradoxe-discovery-set-pimprod2051866?sku=2639222
Vera WangÂ,Vera Wang Love Eau de Parfum,$65.00 - $85.00,,https://www.ulta.com/p/vera-wang-love-eau-de-parfum-pimprod2051440?sku=2639766
Carolina HerreraÂ,Best Sellers Good Girl Perfume 6-Piece Discovery Set,$24.00,,https://www.ulta.com/p/best-sellers-good-girl-perfume-6-piece-discovery-set-pimprod2051350?sku=2639351
