Brand,Product,Price,Image_Link,Product_Link
DiorÂ,Miss Dior Parfum,$122.00 - $225.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/miss-dior-parfum-pimprod2043892?sku=2621580
KYLIE COSMETICSÂ,Cosmic Kylie Jenner 2.0 Eau de Parfum,$54.00 - $84.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/cosmic-kylie-jenner-20-eau-de-parfum-pimprod2050799?sku=2636315
AzzaroÂ,The Most Wanted Eau de Parfum Intense,$110.00 - $135.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/most-wanted-eau-de-parfum-intense-pimprod2023922?sku=2579632
BurberryÂ,Burberry Goddess Eau de Parfum Intense,$118.00 - $190.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/burberry-goddess-eau-de-parfum-intense-pimprod2046411?sku=2628071
Carolina HerreraÂ,Good Girl Blush Elixir,$106.00 - $182.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/good-girl-blush-elixir-pimprod2044153?sku=2619805
Ariana GrandeÂ,r.e.m. Cherry Eclipse Eau de Parfum,$62.00 - $72.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/rem-cherry-eclipse-eau-de-parfum-pimprod2050089?sku=2635789
CHANELÂ,CHANCE EAU SPLENDIDE Eau de Parfum Spray,$143.00 - $176.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/chance-eau-splendide-eau-de-parfum-spray-pimprod2051175?sku=2638381
Juicy CoutureÂ,Just Moi Eau de Parfum,$116.00 - $143.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/just-moi-eau-de-parfum-pimprod2052592?sku=2645387
ARMANIÂ,Acqua di Gioia Eau de Parfum,$75.00 - $140.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/acqua-di-gioia-eau-de-parfum-xlsImpprod2570029?sku=2222169
Carolina HerreraÂ,Very Good Girl Eau de Parfum,$102.00 - $176.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/very-good-girl-eau-de-parfum-pimprod2025902?sku=2583474
Billie EilishÂ,Your Turn Eau de Parfum,$70.00 - $90.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/your-turn-eau-de-parfum-pimprod2050411?sku=2637738
CHANELÂ,COCO MADEMOISELLE Eau de Parfum Intense Spray,$147.00 - $182.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/coco-mademoiselle-eau-de-parfum-intense-spray-pimprod2015973?sku=2523367
Jimmy ChooÂ,I Want Choo Le Parfum,$100.00 - $170.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/i-want-choo-le-parfum-pimprod2046788?sku=2626277
