Brand,Product,Price,Image_Link,Product_Link,summary,Fragrance Family,Key Notes,Benefits,How To Use,Ingredients
freshÂ,Sugar Lychee Eau de Parfum,$58.00,,https://www.ulta.com/p/sugar-lychee-eau-de-parfum-pimprod2041794?sku=2617790,"Find a serene moment to warm your soul with Fresh's Sugar Lychee Eau de Parfum Travel Spray, featuring a luscious and sweetened heart of fruity lychee. This warm, lightweight fragrance is infused with sandalwood and amber notes.",Floral,LycheeAmberSandalwood Item 2617790,,,
Elizabeth ArdenÂ,White Tea Eau de Toilette,$61.00 - $83.00,,https://www.ulta.com/p/white-tea-eau-de-toilette-xlsImpprod16041833?sku=2510962,"Elizabeth Arden White Tea Eau de Toilette is a harmonious blend of Italian mandarin, sea breeze accord, white tea extract, Turkish rose absolute, madras wood, and a trio of tranquility musks.",Woody Floral,"Top - mandarin, clary sage essence, sea breeze accord, white fernMiddle - white tea extract, mate absolute, white iris accord, rose absolute, sapucaya atmosphericBase - madras wood, ambrette seed absolute, tonka bean absolute, ambermax, a trio of tranquility musk Item 2510962",,,
Elizabeth ArdenÂ,Red Door Eau de Toilette,$47.00 - $92.00,,https://www.ulta.com/p/red-door-eau-de-toilette-2629?sku=2224718,An open door to the effects of the deeply sensual. Elizabeth Arden Red Door Eau de Toilette by Elizabeth Arden.,Woody Floral,"Top - lily of the valley, freesia, wild violetsMiddle - red rose, orange flower, jasmine, ylangBase - oakmoss, sandalwood, honey Item 2224718",,,
Lake & SkyeÂ,Midnight 07 Eau de Parfum,$98.00,,https://www.ulta.com/p/midnight-07-eau-de-parfum-pimprod2029690?sku=2592069,"Lake & Skye's Midnight 07 Eau de Parfum is an ode to nights spent dancing and laughing under the midnight sky. An alluring, mysterious, fruity fragrance composed of 07 key ingredients, inspired by the memories made after dark. 07 Key Ingredients: Yuzu, Vetiver, Amber, Rose, Fig, Vanilla, Patchouli.",Woody Oriental,"Top - yuzu, figMiddle - rose, patchouliBase - vetiver, amber, vanilla, musk Item 2592069",,,
PradaÂ,Prada 2-Piece Paradoxe Eau de Parfum Perfume Gift Set,$115.00Kit Price ($154 value)($154 value),,https://www.ulta.com/p/prada-2-piece-paradoxe-eau-de-parfum-perfume-gift-set-pimprod2054551?sku=2646029,"Treat your loved ones with the floral, ambery scent of Paradoxe Eau de Parfum. This fragrance reinvents freshness with a neroli bud, revealing the vibrant warmth of Amber, and the intensity of Musk.",Floral,Fresh Neroli BudWhite AmberWhite Musk Item 2646029,,,
Lake & SkyeÂ,Santal Gray Eau de Parfum,$98.00,,https://www.ulta.com/p/santal-gray-eau-de-parfum-pimprod2035050?sku=2597626,"Discreet sexiness with an uplifting warmth. Smooth sandalwood, violet leaf, musk and cardamom; Lake & Skye's novel approach to Santal. Your daily ritual, Santal Gray.",Woody Fresh,"Top - bergamot, cardamom, carrotMiddle - watery accord, jasmine, violet leafBase - sandalwood, amber, musk Item 2597626",,,
EstÃ©e LauderÂ,Favorites Trio Fragrance Set,$110.00,,https://www.ulta.com/p/favorites-trio-fragrance-set-pimprod2054879?sku=2645640,"EstÃ©e Lauder Beautiful Favorites Trio Fragrance Set is a gift set containing the fragrance of a thousand flowers in full-size and deluxe travel size Eau de Parfum Sprays, plus a deluxe travel size Body Lotion.",,"Top Notes: Rose, Mandarin, Lily, Tuberose, MarigoldMiddle Notes: Orange Flower, Muguet, Jasmine, YlangYlangBase Notes: Sandalwood, Vetiver, Amber Item 2645640","Unwrap the joy of Beautiful - the fragrance of a thousand flowers. A rich blend with notes of Rose, Lily, Tuberose and Orange Flower. Brightened with citrus, warmed by woods.Luxurious, yet lightweight, the Perfumed Body Lotion slips on easily, absorbs quickly. Leaves skin feeling moisturized, smooth and silky.Make all her days Beautiful, at home or away.",,
OUAIÂ,Rue St. HonorÃ© Eau de Parfum,$64.00,,https://www.ulta.com/p/rue-st-honore-eau-de-parfum-pimprod2025729?sku=2586017,"Get whisked a-OUAI to Paris. Rue St. HonorÃ© Eau de Parfum combines notes of violet, gardenia, ylang ylang, and white musk for a sophisticated and feminine floral fragrance.",Floral,"Top - VioletMiddle - Gardenia, Ylang YlangBase - White Musk Item 2586017",,,
LancÃ´meÂ,LancÃ´me Vault IdÃ´le Now Summer Set 2025,$199.00Kit Price ($348 value)($348 value),,https://www.ulta.com/p/lancome-vault-idole-now-summer-set-2025-pimprod2053482?sku=2646248,"Your summer vibe starts here with this limited-edition IdÃ´le Now Eau de Parfum Summer 2025 Gift Set. Whether you're sunning in Saint-Tropez or delighting in the Domaine de la Rose, LancÃ´me has everything you need for your perfect summer.",,,,,
TOCCAÂ,Garden Collection Mini Perfume Trio Set,$28.00Kit Price ($45 value)($45 value),,https://www.ulta.com/p/garden-collection-mini-perfume-trio-set-pimprod2051049?sku=2639773,"Embark on a tour of three of TOCCA's most beloved, floral-forward Eau de Parfums. Each with her own unique character, they come in the miniature 5mL version of our iconic bottle, tucked into a beautiful windowed keepsake box.",Fresh Floral,"Florence: Bergamot, Pear, GardeniaStella: Blood Orange, Freesia, Spicy LilyLucia: Italian Lemon, Fig, Vetiver Item 2639773",,,
TOCCAÂ,Wonders Collection Mini Perfume Trio Set,$34.00Kit Price ($45 value)($45 value),,https://www.ulta.com/p/wonders-collection-mini-perfume-trio-set-pimprod2054679?sku=2646991,"A delightful trio of beloved TOCCA Eau de Parfums in a travel-ready keepsake box. Featuring Florence, Lucia and their newest fragrance Laila in a miniature 5mL version of their iconic bottle.",,"Florence: Bergamot, Pear, GardeniaLucia: Italian Lemon, Fig, VetiverLaila: Bergamot, Toasted Vanilla, Amber Item 2646991",,,
PhilosophyÂ,For All The Moods Fragrance Discovery 3-Piece Gift Set,$52.00Kit Price ($81 value)($81 value),,https://www.ulta.com/p/all-moods-fragrance-discovery-3-piece-gift-set-pimprod2043971?sku=2622723,"Explore the iconic collection with the Philosophy For All The Moods Fragrance Discovery 3-Piece Gift Set. Dab your body with one of your favorite scents, so you always feel amazingly clean and beautifully feminine.",,"Amazing Grace Eau de Toilette - bergamot, lily of the valley, muskAmazing Grace Eau de Parfum Intense - juicy berries, rose absolute, muskFresh Cream Warm Cashmere - tangerine, vanilla bean, musk",,,
ChloÃ©Â,Nomade Eau de Toilette,$122.00,,https://www.ulta.com/p/nomade-eau-de-toilette-pimprod2004363?sku=2542281,"The vibrant, enchanting sweetness of Litchi is unveiled in the top notes â the essence of radiant femininity. Freesia features multiple nuances combined with a delicate, enveloping floral facet. The character of oak moss enhances the notes of this bright fragrance.",Floral,Top - mirabelle plumMiddle - freesiaBase - oak moss Item 2542281,,,
Ellis BrooklynÂ,FLORIST Eau de Parfum,$115.00,,https://www.ulta.com/p/florist-eau-de-parfum-pimprod2038733?sku=2609472,"Sheer, modern, and beautiful, Ellis Brooklyn FLORIST Eau de Parfum is a celebration of the citrus floral. FLORIST pairs tuberose petals with Italian bergamot, golden gardenia, honeysuckle and jasmine in a stunning arrangement that lingers like a flower-tinted spring breeze.",citrusfloral,"Top - italian bergamot, lemon sfuma, lily of the valley, pearMiddle - tuberose petals, golden gardenia, jasmine sambac, honeysuckleBase - upcycled cedarwood virginia, sandalwood spicatum, ambrox Item 2609472",,,
CleanÂ,Classic Tropical Escape,$68.00,,https://www.ulta.com/p/classic-tropical-escape-pimprod2051603?sku=2640645,"Inspired by the sun-drenched shores of a tropical island. This exotic scent opens with a splash of dopamine-charged pineapple, ripe with summer abundance.",Fruity Amber Item 2640645,"Pineapple, Bergamot, OrangeCoconut Milk, Heliotrope, JasmineSandalwood, Cedarwood, Tonka Bean",vegancruelty-free,,
Marc JacobsÂ,Daisy Glow Limited Edition Eau de Toilette,$101.00,,https://www.ulta.com/p/daisy-glow-limited-edition-eau-de-toilette-pimprod2049467?sku=2633372,"Take a walk in the luminous world of Daisy Glow, a fresh new fragrance for women. Daisy Glow's notes are an impeccable mix: a top note of bright, white strawberry, heart of gentle violet and marigold and base notes of warm white woods and vanilla. Wear this scent as a reminder to be daring and free.",Floral,"Top- white strawberry notes, sweet orange essential oilHeart- marigold, jasmine and violet notesBase- white woods, musk and vanilla notes",,,
NematÂ,Red Rose Eau de Parfum,sale price $48.74$48.74list price $64.99$64.99,,https://www.ulta.com/p/red-rose-eau-de-parfum-pimprod2042585?sku=2619851,The Red Rose Eau de Parfum by Nemat is the quintessential Rose fragrance â luxurious and romantic. It is inspired by a traditional Indian fragrance called âAttar Gulabâ and boasts the essence of rose petals complemented by a base of Sandalwood oil.,,"Top - rich petalsMiddle - green stems, rose waterBase - light woods Item 2619851",,,
freshÂ,Sugar Lemon Eau de Parfum,$58.00,,https://www.ulta.com/p/sugar-lemon-eau-de-parfum-pimprod2043131?sku=2622541,"Envelop your senses in the elusive citrus scent of Fresh's Sugar Lemon Eau de Parfum, featuring a zesty and bright sparkling lemon accord. This uplifting, lightweight fragrance with comforting caramel notes is enclosed in an apothecary-style glass bottle.",Fresh Item 2622541,LemonYuzuCaramel,,,
NEST New YorkÂ,Vanilla Bourbon Eau de Parfum Set,$98.00Kit Price ($124 value)($124 value),,https://www.ulta.com/p/vanilla-bourbon-eau-de-parfum-set-pimprod2054619?sku=2647201,"Indulge in unhurried pleasures with Vanilla Bourbon, a warm gourmand eau de parfum featuring the sumptuous scent of vanilla bourbon absolute, a sophisticated blend of orange bitters and rich brown sugar, and an inviting trail of night-blooming jasmine and soft musk.",,Vanilla BourbonOrange BittersBrown Sugar Item 2647201,,,
Oak EssentialsÂ,Cuir Rose Eau de Parfum,$120.00,,https://www.ulta.com/p/cuir-rose-eau-de-parfum-pimprod2048744?sku=2631918,Oak Essentials Cuir Rose Eau de Parfum is a perfume with floral and woody notes that seamlessly melt into skin for a natural fragrance thatâs signature to each wearer.,Floral,"Top: saffron, cassis, Italian tangerineMiddle: white leather, heirloom rosesBase: California woods, crisp amber Item 2631918",,,
GivenchyÂ,Irresistible Eau De Toilette Fraiche,$116.00 - $139.00,,https://www.ulta.com/p/irresistible-eau-de-toilette-fraiche-pimprod2030594?sku=2591775,"Givenchy Irresistible Eau de Toilette Fraiche is a captivating floral perfume that combines fresh rose with the energizing intensity of bright pink pepper, radiant musk, and juicy orange.",Fruity FloralsFresh,"Top - pink pepper, sparkling orangeMiddle - fresh rose, irisBase - cedarwood, musk Item 2591775",,,
DKNYÂ,Be Delicious Orchard St.,$58.00 - $100.00,,https://www.ulta.com/p/be-delicious-orchard-st-pimprod2041509?sku=2615671,Experience the energy of NYC's Lower East Side with the vibrant scent of DKNY Be Delicious Orchard St.,Floriental Fruity,Pink Lady AppleJasmineCedarwood Item 2615671,,,
OrebellaÂ,'ÃrÉbella Travel Case for 0.33 oz,$35.00,,https://www.ulta.com/p/orbella-travel-case-033-oz-pimprod2047139?sku=2625213,'ÃrÉbella founded by Bella Khair Hadid. This TRAVEL CASE is a multi-faceted gold case to hold any 'ÃrÉbella 0.33 oz parfum.,,,,,
Ellis BrooklynÂ,APRÃS Eau de Parfum,$115.00,,https://www.ulta.com/p/apres-eau-de-parfum-pimprod2031133?sku=2594140,"The rush of alpine air, a crisp whiff of evergreens, and the richness of bourbon, praline and vanilla. Ellis Brooklyn APRÃS Eau de Parfum opens dewy like first snow and evolves into a boozy-woodsy brew laced with spices and sweetness.",WarmWoodyFresh,"Top - saffron, juniper berries, cardamomMiddle - soft suede, bourbon, violet, praline, guaiacwood, labdanumBase - musk, vanilla, patchouli, cedarwood, sandalwood Item 2594140",,,
TOCCAÂ,Laila Solid Perfume,$50.00,,https://www.ulta.com/p/laila-solid-perfume-pimprod2054758?sku=2648348,"Discover a luxuriously intimate way to scent your body with TOCCA's emollient-rich solid perfume. Treat yourself to the fresh vanilla scent of Laila with the go-anywhere, pocket-sized fragrance.",Gourmand,"Top: Green Mandarin, Bergamot, Desert Rain AccordMidde: Jasmine Nectar, Lily of the Valley, Cardamom BlossomBottom: Toasted Vanilla, White Woods, Golden Amber Item 2648348",,,
